2026-01-30 11:21:41,795 | ERROR | django_orm_services | Ошибка выполнения SQL: not all arguments converted during string formatting | D:\CursachV2\chepochem_app\django_orm_services.py:38
2026-01-30 11:21:41,797 | ERROR | django_orm_services | Ошибка логирования активности: not all arguments converted during string formatting | D:\CursachV2\chepochem_app\django_orm_services.py:487
2026-01-30 11:21:46,215 | INFO | activity_logger | {"type": "api_request", "method": "GET", "path": "/favorites/", "user_id": 1, "username": "admin", "ip_address": "127.0.0.1", "status_code": 500, "duration_ms": 178, "timestamp": "2026-01-30T08:21:46.215704+00:00"} | D:\CursachV2\chepochem_app\activity_logger.py:226
2026-01-30 11:24:10,322 | INFO | activity_logger | {"type": "api_request", "method": "GET", "path": "/favicon.ico", "user_id": 1, "username": "admin", "ip_address": "127.0.0.1", "status_code": 404, "duration_ms": 48, "timestamp": "2026-01-30T08:24:10.322526+00:00"} | D:\CursachV2\chepochem_app\activity_logger.py:226
2026-01-30 11:24:24,273 | INFO | activity_logger | {"type": "api_request", "method": "POST", "path": "/toggle-favorite/7/", "user_id": 1, "username": "admin", "ip_address": "127.0.0.1", "status_code": 403, "duration_ms": 5, "timestamp": "2026-01-30T08:24:24.272694+00:00"} | D:\CursachV2\chepochem_app\activity_logger.py:226
2026-01-30 11:24:29,984 | INFO | activity_logger | {"type": "api_request", "method": "GET", "path": "/favicon.ico", "user_id": 1, "username": "admin", "ip_address": "127.0.0.1", "status_code": 404, "duration_ms": 13, "timestamp": "2026-01-30T08:24:29.984756+00:00"} | D:\CursachV2\chepochem_app\activity_logger.py:226
2026-01-30 11:24:30,983 | INFO | activity_logger | {"type": "api_request", "method": "POST", "path": "/toggle-favorite/7/", "user_id": 1, "username": "admin", "ip_address": "127.0.0.1", "status_code": 403, "duration_ms": 4, "timestamp": "2026-01-30T08:24:30.983546+00:00"} | D:\CursachV2\chepochem_app\activity_logger.py:226
2026-01-30 11:32:24,610 | INFO | activity_logger | {"type": "api_request", "method": "GET", "path": "/favicon.ico", "user_id": 1, "username": "admin", "ip_address": "127.0.0.1", "status_code": 404, "duration_ms": 39, "timestamp": "2026-01-30T08:32:24.610406+00:00"} | D:\CursachV2\chepochem_app\activity_logger.py:226
2026-01-30 11:38:46,687 | INFO | activity_logger | {"type": "api_request", "method": "GET", "path": "/favicon.ico", "user_id": 1, "username": "admin", "ip_address": "127.0.0.1", "status_code": 404, "duration_ms": 31, "timestamp": "2026-01-30T08:38:46.687428+00:00"} | D:\CursachV2\chepochem_app\activity_logger.py:226
2026-01-30 11:40:49,578 | INFO | activity_logger | {"type": "api_request", "method": "GET", "path": "/favicon.ico", "user_id": 1, "username": "admin", "ip_address": "127.0.0.1", "status_code": 404, "duration_ms": 14, "timestamp": "2026-01-30T08:40:49.578930+00:00"} | D:\CursachV2\chepochem_app\activity_logger.py:226
